network_branch_id,pre_fault_window_s,post_dfig_pre_line_trip_window_s,late_post_line_trip_window_s,pre_raw_S_mean,pre_raw_S_max,post_dfig_raw_S_mean,post_dfig_raw_S_max,late_raw_S_mean,late_raw_S_max,pre_I_mean,post_dfig_I_mean,late_I_mean,delta_post_dfig_raw_S_mean,delta_late_raw_S_mean,status,post_dfig_response_rank
E_9_39_1,0.20-0.49,2.46-7.50,8.03-20.00,0.7910587738482131,0.7969074607624159,2.519653188575988,7.043694096678621,2.4638568268650745,6.7939107690906075,0.12897372367114232,0.4317520983754756,0.40567912652055926,1.728594414727775,1.6727980530168614,trend_only_no_rating_claim,11
E_3_4_1,0.20-0.49,2.46-7.50,8.03-20.00,1.3260539038784576,1.3412308565578546,2.951253873030721,5.379532327662546,3.437700778532948,6.53880073244602,0.222333492838728,0.6151188089418282,0.5690661490024832,1.6251999691522634,2.1116468746544905,trend_only_no_rating_claim,12
E_4_5_1,0.20-0.49,2.46-7.50,8.03-20.00,1.495324275084477,1.511447315967152,3.1190479555964044,6.525561281928053,3.7867585515439206,7.682633828711882,0.250712257148786,0.5875530976193045,0.6314488067086937,1.6237236805119273,2.2914342764594435,trend_only_no_rating_claim,13
E_8_9_1,0.20-0.49,2.46-7.50,8.03-20.00,1.1330710879795203,1.1386865575167635,2.471245627099768,6.996302319717225,2.501387943486789,6.764134930846366,0.19106970266237935,0.43948565720360605,0.41978403258044067,1.3381745391202475,1.3683168555072687,trend_only_no_rating_claim,14
E_3_18_1,0.20-0.49,2.46-7.50,8.03-20.00,0.708772373972893,0.7329285358859046,2.006582920286792,4.804639782748404,1.3841049665763723,3.882235223277884,0.11631617706293666,0.4175230145654512,0.23051070249075717,1.297810546313899,0.6753325926034792,trend_only_no_rating_claim,15
E_16_19_1,0.20-0.49,2.46-7.50,8.03-20.00,5.20507445428293,5.217622161243109,6.402431807497236,10.496370243061431,8.525401336067647,12.1736252705362,0.837734337618722,1.1033286066224077,1.465177145300449,1.197357353214306,3.320326881784717,trend_only_no_rating_claim,16
E_14_15_1,0.20-0.49,2.46-7.50,8.03-20.00,0.3745819278447065,0.37747088224725106,1.5518060684813546,4.296687939301387,1.6683127784115244,4.691394963037927,0.06232307253087523,0.3000228026841398,0.2860861145352857,1.1772241406366482,1.293730850566818,trend_only_no_rating_claim,17
E_16_24_1,0.20-0.49,2.46-7.50,8.03-20.00,1.1281902179245809,1.1353557002060408,1.960286767986188,3.2527595048265776,1.9080645488062076,3.1281121163869563,0.18371721035368932,0.379792253579771,0.3251261746560453,0.8320965500616071,0.7798743308816267,trend_only_no_rating_claim,18
E_13_14_1,0.20-0.49,2.46-7.50,8.03-20.00,2.83225299308248,2.841140428120499,3.524831738819797,6.359717971163809,4.397126325422577,7.151024347684988,0.4698807208901597,0.6186301283663043,0.7309676557947851,0.6925787457373174,1.5648733323400972,trend_only_no_rating_claim,19
E_5_8_1,0.20-0.49,2.46-7.50,8.03-20.00,3.191526461689278,3.1936495554523487,2.6834970889628855,5.646532191811966,2.5139754142294675,4.301593934753233,0.5376914265913073,0.46138236218312195,0.4272608264324997,-0.5080293727263925,-0.6775510474598105,trend_only_no_rating_claim,20
E_15_16_1,0.20-0.49,2.46-7.50,8.03-20.00,3.4994038951126996,3.5021960352161545,3.0002628150860335,6.489926961297657,2.646490223925227,5.145940826200368,0.5791545316501714,0.5174395416825435,0.44397908753542736,-0.499141080026666,-0.8529136711874727,trend_only_no_rating_claim,21
E_16_21_1,0.20-0.49,2.46-7.50,8.03-20.00,3.3615660295423853,3.3674509931667567,3.8276599541119913,7.2329276087952525,4.685783188993879,7.235593280436605,0.546822614689896,0.6912343228999448,0.7867217881579185,0.4660939245696061,1.3242171594514938,trend_only_no_rating_claim,22
E_6_7_1,0.20-0.49,2.46-7.50,8.03-20.00,4.2958521154190485,4.298674310753913,3.831859706247971,6.370850170254102,3.834035812087943,5.28690821019301,0.7198087142715246,0.6484685753421087,0.6475841926644238,-0.46399240917107765,-0.46181630333110535,trend_only_no_rating_claim,23
E_6_11_1,0.20-0.49,2.46-7.50,8.03-20.00,3.6664463302195105,3.6681698648588745,3.2681270049640903,5.189315473172628,3.281795843058395,4.629758766864842,0.609973619472018,0.5506370104464026,0.5510929220158715,-0.39831932525542024,-0.3846504871611156,trend_only_no_rating_claim,24
E_21_22_1,0.20-0.49,2.46-7.50,8.03-20.00,6.241893838187756,6.251695592214033,6.546764681932411,10.269940073618075,7.476639289763444,9.847650108739765,1.00434652264437,1.0979072568349495,1.2234519460684874,0.3048708437446548,1.2347454515756882,trend_only_no_rating_claim,25
E_7_8_1,0.20-0.49,2.46-7.50,8.03-20.00,1.8481449101031076,1.8496651564484772,1.5441186488725829,3.3609754638285176,1.5014386046840433,3.0789425720205026,0.311601882400175,0.2661457641903017,0.25708349382690693,-0.3040262612305247,-0.3467063054190642,trend_only_no_rating_claim,26
E_2_3_1,0.20-0.49,2.46-7.50,8.03-20.00,3.42106450259467,3.4328400796138165,3.163505637774423,9.337196107097748,3.6373291382607964,9.205505961184356,0.5612614097162173,0.5331431315859791,0.5725080808011712,-0.25755886482024737,0.2162646356661262,trend_only_no_rating_claim,27
E_23_24_1,0.20-0.49,2.46-7.50,8.03-20.00,3.575179137641186,3.5798699690658675,3.7778459989143105,6.309383734422759,4.5991571762372,6.360302467825999,0.5745697513526763,0.6462719738085709,0.7578916351674915,0.2026668612731246,1.023978038596014,trend_only_no_rating_claim,28
E_17_18_1,0.20-0.49,2.46-7.50,8.03-20.00,2.258085077810089,2.279507490226655,2.4287187718629664,5.382290074090371,1.792749252008088,3.675861417877958,0.36928114124569267,0.48247019823191495,0.29371216207759326,0.17063369405287743,-0.46533582580200084,trend_only_no_rating_claim,29
E_4_14_1,0.20-0.49,2.46-7.50,8.03-20.00,2.8152728094278623,2.8244893171897756,2.852888692529161,4.137761912038534,3.1649072569954164,4.1069284863511095,0.4719710564693093,0.49554286641704826,0.5313408244038901,0.03761588310129893,0.34963444756755413,trend_only_no_rating_claim,30
E_22_23_1,0.20-0.49,2.46-7.50,8.03-20.00,0.7590315116019093,0.762774217487225,0.7932871654005667,1.3992968713548721,1.1655345834738864,1.8428725327468884,0.12181404563063766,0.12789136590794042,0.18831994317103792,0.03425565379865736,0.4065030718719771,trend_only_no_rating_claim,31
