rank,network_branch_id,pre_fault_index_mean,pre_fault_index_max,fault_on_index_max,post_clear_early_index_mean,post_clear_early_index_max,post_clear_late_index_mean,post_clear_late_index_max,index_formula,semantic_status
15,E_8_9_1,1.1323742484406876,1.138318024622336,1.6405560881199721,2.0437776147240765,2.7719447591677877,2.658563405353283,7.638320424115136,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
16,E_9_39_1,0.7902706308150743,0.7966538489373117,1.357898134294006,2.1356601904996557,2.7890664054726315,2.704773704245443,7.572229301735895,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
17,E_13_14_1,2.8318372696881005,2.8398597718702816,3.171995670074924,2.904873611641301,5.122978028996318,4.323747465345114,7.525012915041005,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
18,E_3_4_1,1.3273828630471118,1.3364294764848872,1.8014370680810707,3.798038599538601,5.362404781220794,3.600837504268378,7.153937390256139,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
19,E_16_21_1,3.361111940949508,3.3661099410688027,3.747148532061836,4.046789579995166,7.149122114807144,4.574881467179846,6.7485338937588,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
20,E_23_24_1,3.5747581220534745,3.5788982271230205,3.742077910829108,3.862278077334705,6.264059869715895,4.48489475248047,6.203886766594032,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
21,E_15_16_1,3.4994687864547096,3.501816860930635,3.496758286574812,4.005021923994809,6.399596730723098,2.792038370208456,5.878717268653468,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
22,E_6_7_1,4.295964478080642,4.298360281161257,4.293281922332176,4.802016633719949,6.275662781673159,3.818432377894288,5.792598190791149,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
23,E_14_15_1,0.37495980792750544,0.3780749954818694,0.9469064806458578,1.5493180708280319,2.0986416810333237,1.8334885449376712,5.207239182037206,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
24,E_3_18_1,0.7080921884802897,0.7342519032183082,1.5744898345245628,2.4391185816725303,3.571143705100479,1.7823770455249333,5.09577617335884,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
25,E_5_8_1,3.1917236207094715,3.1935134941380987,3.1898196119588977,3.874427686955486,5.529105604344632,2.581975842193134,4.9903574514469105,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
26,E_6_11_1,3.6662962480883334,3.6676636242737275,3.6636274931877777,4.180971863550637,5.084355856444278,3.245463898367074,4.725917807401739,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
27,E_17_18_1,2.257500187118236,2.278284921081427,2.255151757809583,3.249924013602336,5.23054940455233,2.0928800361030673,4.592460823979872,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
28,E_4_14_1,2.8151724659407877,2.823993579424023,2.8705883068504185,3.1348703093707955,4.067186226974015,3.1018731163050455,4.180075343222013,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
29,E_16_24_1,1.1276675016226338,1.1354615191723587,2.2891757848989758,2.3342974117108786,3.206654071743612,1.8669419205316469,3.2835997781433774,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
30,E_7_8_1,1.8481742069242773,1.849574337072068,1.863127608882364,2.411020351253391,3.2573803889527966,1.540368890133932,3.267280538223458,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
31,E_22_23_1,0.758692771969619,0.7624760077019758,0.8120205714054909,0.9140811864503974,1.3009475994807012,1.1112873907031648,1.903607845379251,"max(sqrt(P_A^2+Q_A^2),sqrt(P_B^2+Q_B^2))/(model Total MVA field / 100 MVA)",100mva_normalized_apparent_power_response_index_not_overload_ratio
