network_branch_id,pre_trip_window_s,post_trip_early_window_s,post_trip_late_window_s,pre_P,early_P,delta_P,pre_Q,early_Q,delta_Q,pre_I,early_I,delta_I,pre_raw_S,early_raw_S,delta_raw_S,late_P,late_Q,late_I,late_raw_S,response_score,status,response_rank_all_lines,redistribution_rank_excluding_opened_line
E_25_26_1,7.31-7.49,7.53-8.01,8.31-9.00,5.138721406747134,5.888607524650361,0.7498861179032268,5.0297127377535364,0.638508630409584,-4.3912041073439525,1.166927923147668,0.9455516904857403,-0.22137623266192763,7.6916998220076165,5.898002554885804,-1.7936972671218125,4.435614457453766,0.23121276552984235,0.7001851780973283,4.43981443802372,1.7936972671218125,post_trip_high_stress_response_trend_only,14,13
E_3_18_1,7.31-7.49,7.53-8.01,8.31-9.00,0.45054999070661733,2.8078066228698733,2.357256632163256,1.0102055240187369,0.7945918001610819,-0.21561372385765498,0.19572723611095505,0.466224170787388,0.27049693467643293,1.1476602404088847,2.9208337236586948,1.77317348324981,0.43295474078423357,0.3869472255022729,0.10783264191148893,0.6613887896212508,1.77317348324981,post_trip_high_stress_response_trend_only,15,14
E_4_14_1,7.31-7.49,7.53-8.01,8.31-9.00,3.3566554763176053,1.710395044114945,-1.6462604322026604,0.22357890017819487,0.9326767851986504,0.7090978850204555,0.554713847968799,0.3180445973018337,-0.23666925066696526,3.3647494635077404,1.9636925278507182,-1.4010569356570222,2.9922146051442717,0.45890738823955685,0.4995452275844059,3.02723739219255,1.4010569356570222,post_trip_high_stress_response_trend_only,16,15
E_23_24_1,7.31-7.49,7.53-8.01,8.31-9.00,4.628780063833616,3.2404537033270673,-1.3883263605065483,0.6660326678296636,0.42500204926303903,-0.2410306185666246,0.7560675182158074,0.5037517064803606,-0.2523158117354468,4.66382030569734,3.2717348515787723,-1.3920854541185674,4.174238326248411,0.19374621126350458,0.6678902054258868,4.178267993514921,1.3920854541185674,post_trip_high_stress_response_trend_only,17,16
E_14_15_1,7.31-7.49,7.53-8.01,8.31-9.00,1.2483184152917044,2.6112928946330185,1.362974479341314,0.7750002349338979,0.8307334272290074,0.055733192295109535,0.25208569419519683,0.43953988520341697,0.18745419100822014,1.5130842947305712,2.7409393739332097,1.2278550792026386,0.6177374020009364,0.3058491304663897,0.11798008671866374,0.7176303973989027,1.2278550792026386,post_trip_high_stress_response_trend_only,18,17
E_26_29_1,7.31-7.49,7.53-8.01,8.31-9.00,4.096619545176843,2.9318136655764673,-1.1648058796003755,0.5888271301322253,0.40976305245763733,-0.17906407767458798,0.5433204235995794,0.46350347118050494,-0.0798169524190745,4.138722460099739,2.960311173511582,-1.1784112865881573,2.81986285167106,0.3925090154320456,0.4544740426419868,2.847049505802239,1.1784112865881573,post_trip_high_stress_response_trend_only,19,18
E_6_11_1,7.31-7.49,7.53-8.01,8.31-9.00,3.168806437661811,1.873975107820302,-1.2948313298415088,0.430310115322785,0.9485660255284357,0.5182559102056508,0.5261665962129057,0.3389711764763,-0.18719541973660575,3.2072626802595843,2.106050959058278,-1.1012117212013064,3.363388539677404,0.4784770126870473,0.5565422460299831,3.3937272123391984,1.1012117212013064,post_trip_high_stress_response_trend_only,20,19
E_6_7_1,7.31-7.49,7.53-8.01,8.31-9.00,3.4521094741389162,2.4286930244085876,-1.0234164497303286,1.0608078922478374,1.5195829022029388,0.45877500995510134,0.5985622829311211,0.46750593905727367,-0.13105634387384746,3.6310351652121464,2.8646769266922454,-0.766358238519901,3.8527365372282385,1.0296870740382404,0.6592147359475077,3.9888431284247123,0.766358238519901,post_trip_high_stress_response_trend_only,21,20
E_4_5_1,7.31-7.49,7.53-8.01,8.31-9.00,4.177282430496573,3.690815776161749,-0.4864666543348246,1.148591123975601,0.23251659868402863,-0.9160745252915724,0.7304036085348242,0.5989845077126339,-0.13141910082219033,4.378506221765287,3.696017246589416,-0.6824889751758709,2.7115057627122274,0.16551369833135415,0.44793337128340754,2.7142299273682946,0.6824889751758709,post_trip_high_stress_response_trend_only,22,21
E_1_39_1,7.31-7.49,7.53-8.01,8.31-9.00,3.668277541636995,3.795670899711549,0.1273933580745541,2.274339981280248,1.1726310601692878,-1.1017089211109603,0.7509076628020916,0.6488220782210714,-0.10208558458102024,4.604129057641544,3.996539006884386,-0.6075900507571586,0.9560260164879076,1.2522988428792972,0.2562518049466483,1.5863221392681122,0.6075900507571586,post_trip_high_stress_response_trend_only,23,22
E_5_8_1,7.31-7.49,7.53-8.01,8.31-9.00,1.860717373640921,0.90727568085259,-0.953441692788331,0.9866010424178758,1.2916827564338103,0.3050817140159344,0.3523524228340326,0.2614003105641592,-0.09095211226987343,2.1429369482192513,1.597435762606301,-0.5455011856129504,2.54155141270694,0.7392888577656982,0.43911544398365243,2.643375287039403,0.5455011856129504,post_trip_high_stress_response_trend_only,24,23
E_1_2_1,7.31-7.49,7.53-8.01,8.31-9.00,3.6498221509125317,3.7794301946094695,0.1296080436969378,1.9710808676470677,0.784169908399654,-1.1869109592474136,0.6885711838797185,0.6154654744784356,-0.07310570940128291,4.382744548836993,3.8588353124226256,-0.5239092364143678,0.9544254498870139,0.47973247539688574,0.17071919040497957,1.0767206406961651,0.5239092364143678,post_trip_high_stress_response_trend_only,25,24
E_7_8_1,7.31-7.49,7.53-8.01,8.31-9.00,1.0064546399226941,0.1786082213280249,-0.8278464185946692,0.4131828891880403,0.7028623415290164,0.2896794523409761,0.1857475967012679,0.12032796816255296,-0.06541962853871493,1.1100824913903031,0.7328949626221852,-0.3771875287681179,1.4306253483034486,0.205617414639092,0.24041294698223672,1.446776079907764,0.3771875287681179,post_trip_high_stress_response_trend_only,26,25
E_13_14_1,7.31-7.49,7.53-8.01,8.31-9.00,4.623962137947716,4.3378034420687595,-0.2861586958789566,0.7547414649587211,0.17914376260829123,-0.5755977023504298,0.7741104823594231,0.6931314820808899,-0.08097900027853322,4.697469412388052,4.340295719517424,-0.35717369287062795,3.6213056690201557,0.2718703056774532,0.5936815963702246,3.628690490075286,0.35717369287062795,post_trip_high_stress_response_trend_only,27,26
E_15_16_1,7.31-7.49,7.53-8.01,8.31-9.00,2.1434450007554475,0.9007345276216511,-1.2427104731337963,1.716389815933527,2.2491585270058185,0.5327687110722916,0.4352206774211516,0.39074159075218107,-0.04447908666897055,2.760720358350117,2.4658448573069482,-0.29487550104316895,2.648707844729143,1.3531888055488785,0.4895525034465479,2.9819217071458057,0.29487550104316895,post_trip_high_stress_response_trend_only,28,27
E_17_18_1,7.31-7.49,7.53-8.01,8.31-9.00,1.3466789613182288,1.1186535076974031,-0.2280254536208257,0.9697328544678712,0.9847459769758051,0.015013122507933963,0.28210443398473684,0.24210963567032898,-0.03999479831440786,1.7781872764668618,1.5039687124620353,-0.27421856400482647,1.332072032280555,0.2813943801211338,0.22241219878362156,1.3692850541872965,0.27421856400482647,post_trip_high_stress_response_trend_only,29,28
E_16_24_1,7.31-7.49,7.53-8.01,8.31-9.00,1.5827058195435821,0.5483996362951876,-1.0343061832483946,0.5808981021744364,1.4887951852160142,0.9078970830415778,0.30661509248444263,0.2505873924392402,-0.05602770004520241,1.7738354817577473,1.6007041096776933,-0.17313137208005402,1.014097149687102,0.9881356011345647,0.2422574204305463,1.493195590381002,0.17313137208005402,post_trip_high_stress_response_trend_only,30,29
E_22_23_1,7.31-7.49,7.53-8.01,8.31-9.00,0.3618275795108184,0.4261357433900594,0.06430816387924099,0.5555335489051426,0.6606540611708751,0.10512051226573249,0.10407773183837436,0.12099980378571816,0.016922071947343797,0.6639799991790301,0.7964613269319467,0.13248132775291666,0.2119888018398511,0.9570908712063465,0.15693688541272013,0.9850620853114255,0.13248132775291666,post_trip_high_stress_response_trend_only,31,30
E_28_29_1,7.31-7.49,7.53-8.01,8.31-9.00,11.31326109723562,0.5063667422129194,-10.806894355022699,24.16122243620058,0.6781819572721823,-23.483040478928395,2.4096814623284684,0.10275518720506006,-2.3069262751234083,27.546517137919682,0.9051864096394846,-26.6413307282802,0.00211668584936004,0.27378838498455116,0.043461613281147206,0.27379989018356105,26.6413307282802,post_trip_high_stress_response_trend_only,1,
