capability_id,category,component_name,source_or_network_object,project_path,xml_or_fortran_evidence,existing_dynamic_evidence,current_status,claim_boundary
CAP14,source-B event packet,IBR2_TRIAL_CASCADE_*,IBR2,3IBR_DFIG1_TRIAL.pscx,IBR2 event packet path,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Monitor record only.
CAP15,source-C event packet,IBR3_TRIAL_CASCADE_*,IBR3,3IBR_DFIG1_TRIAL.pscx,IBR3_TRIAL__EVENT_PACKET,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Monitor record only.
CAP16,three-source collector,THREE_SOURCE_EVENT_COLLECTOR,A/B/C events,3IBR_DFIG1_TRIAL.pscx,definition and CASCADE3_TRIAL__EVENT_COLLECTOR instance,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Aggregation does not create causal propagation.
CAP17,three-event chronology,THREE_EVENT_CHRONOLOGY_MONITOR,A/B/C events,3IBR_DFIG1_TRIAL.pscx,definition and CASCADE3_TRIAL__CHRONOLOGY_MONITOR instance,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Ordering does not establish causality.
CAP18,V/P/Q observability,CASCADE3_ELEC_*,DFIG/IBR2/IBR3,3IBR_DFIG1_TRIAL.pscx,nine monitor-only Output Channels,data/validation/three_source_electrical_response_final_audit.json,implemented_and_audited,Recorded source trajectories only; units are not independently asserted.
CAP19,frequency observability,internal Freq/FreqFlag signals,generators/network,3IBR_DFIG1_TRIAL.pscx,internal frequency labels exist but no audited system frequency Output Channel set,none,partially_available,Cannot support paper UFLS or severity metrics yet.
CAP20,load observability,ETRAN loads,loads,3IBR_DFIG1_TRIAL.pscx,ETRAN:Electranix_Load definitions exist; no audited remaining-load/shedding channel set,none,partially_available,Load components do not equal load-shedding observability.
CAP21,UFLS,none,loads,3IBR_DFIG1_TRIAL.pscx,no audited UFLS action path,none,not_implemented,Repository MATLAB class is not coupled to PSCAD.
CAP22,UVLS,none,loads,3IBR_DFIG1_TRIAL.pscx,no audited UVLS action path,none,not_implemented,Repository MATLAB class is not coupled to PSCAD.
CAP23,conventional-generator protection,none audited,thermal generators,3IBR_DFIG1_TRIAL.pscx,generator dynamics exist; no audited 47.5/51.5 Hz or 0.8/1.3 p.u. trip logic,none,not_found,Do not infer protection from generator model names.
CAP24,temporary-overvoltage protection,none,lines,3IBR_DFIG1_TRIAL.pscx,no audited 1.3 p.u. no-delay line-trip path,none,not_implemented,DFIG voltage monitoring is not line TOV protection.
CAP25,SVC,none,mitigation,3IBR_DFIG1_TRIAL.pscx,no SVC definition/instance found,none,not_found,Paper device is absent.
CAP26,STATCOM,none,mitigation,3IBR_DFIG1_TRIAL.pscx,no STATCOM definition/instance found,none,not_found,Paper device is absent.
CAP27,MATLAB coupling,repository-only MATLAB scaffold,external coupling,matlab/; 3IBR_DFIG1_TRIAL.pscx,MATLAB files exist in repository; no active PSCAD MATLAB interface is audited,docs/MATLAB_INTERFACE_SPEC.md,not_implemented,No MATLAB coupling claim.
